Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
2.63,0.06,0.08,77.35,0.38,8.65,3.59,1.14,1.24,2.49,258.32
5.24,0.07,0.09,59.91,0.6,14.71,2.95,2.4,2.4,3.01,225.83
12.38,0.17,0.26,56.27,2.31,18.27,0.34,0.56,0.59,1.01,1183.6
4.09,0.07,0.11,57.32,0.63,5.2,0.73,1.51,0.5,1.4,1313.09
5.14,0.1,0.08,65.91,0.65,11.77,0.69,0.82,1.14,2,959.5
4.1,0.07,0.1,59.56,0.65,13.59,2.67,1.92,1.03,3.5,284.08
3.38,0.03,0.07,73.62,1.04,12.93,0.22,0.19,0.33,0.89,1221.17
5.63,0.11,0.38,66.76,1.13,13.03,1.21,1.62,1.03,1.74,1084.75
5.31,0.13,0.03,65.08,0.9,12.4,0.11,0.31,0.92,1.82,1382.51
7.2,0.14,0.16,60.03,0.85,16.34,0.56,1.88,2.24,1.97,1499.71
3.92,0.12,0.13,67.19,0.6,11.19,1.03,1.31,1.07,2.06,783.77
5.16,0.1,0.19,56.78,0.57,14.72,0.83,1.55,2.1,3.28,421.34
4.12,0.11,0.09,67.65,0.56,11.53,0.89,0.92,0.99,2.18,756.68
4.49,0.12,0.1,64.5,0.7,9.25,0.63,0.96,0.67,1.69,1020.01
5.06,0.12,0.09,68.84,0.66,12.68,0.76,0.86,1.25,1.87,984.97
0.92,0.04,0.04,81.61,0.25,3.82,0.02,0.01,0.1,0.1,289.67
3.91,0.13,0.07,68.1,0.54,10.31,1.54,1.23,1.4,2.05,566.25
2.52,0.05,0.06,60.29,0.29,5.91,1.01,1.84,0.54,1.56,1334.77
20.23,0.08,0.16,30.78,3.68,22.98,0.13,0.09,0.17,0.06,661.54
7.6,0.06,0.25,50.35,1.08,5.17,0.01,0.53,0.24,1.34,1339.33
4.26,0.07,0.1,67.27,0.52,13.35,2.53,1.48,2.25,2.63,400.72
4.39,0.05,0.08,59.27,0.64,10.59,0.58,0.88,0.85,2.18,1049.21
4.01,0.01,0.03,66.73,0.6,8.48,0.06,0.1,0.26,1.07,1189.6
13.96,0.2,0.3,46.87,2.73,18.71,0.51,0.71,0.67,1.12,1193.97
6.86,0.04,0.26,59.7,0.7,11.14,0.24,1.07,1.2,1.58,935.66
5.05,0.06,0.1,62.97,0.73,13.15,0.78,0.74,1.31,2.15,980.73
8.36,0.08,0.09,51.36,1.37,13.5,0.27,0.47,1,1.72,1256.28
4.99,0.09,0.31,64.55,0.59,14.88,3.3,2.71,1.79,3.15,326.65
6.25,0.04,0.13,61.47,0.66,12.97,0.26,1.09,1.18,1.46,1043.78
4.79,0.08,0.1,60.56,0.53,12.32,0.84,1.11,1.12,2.45,1049.21
5.28,0.07,0.14,65.22,1.09,13.36,0.36,0.54,0.55,1.43,1159.04
2.13,0.06,0.05,64.63,0.29,5.21,0.99,1.7,0.35,0.95,1313.27
6.58,0.17,0.3,49.78,1.01,10.1,0.55,2,1.56,2.1,1110.08
1.02,0.01,0.02,71.53,0.19,2.76,0.22,0.17,0.17,0.64,506.28
15.45,0.32,0.46,49.05,2.93,17.46,0.38,0.58,0.45,1.07,1177.38
4.87,0.07,0.13,60.39,0.48,12.22,1,1.7,1.67,1.95,371.21
4.45,0.19,0.1,67.66,0.66,9.79,0.62,0.98,0.7,1.64,1020.01
14.6,0.25,0.35,48.41,2.59,16.73,0.45,0.63,0.56,0.97,1193.25
4.25,0.19,0.29,65.82,0.71,13.92,1.5,2.05,0.97,2.71,946.77
10.11,0.2,0.19,57.99,1.72,14.69,1.59,0.79,2.25,1.4,481.93
5.45,0.07,0.11,51.84,0.69,10.36,3.33,2.74,2.1,2.43,450.2
3.61,0.08,0.1,66.31,0.43,8.65,1.6,1.17,1.12,1.75,447.24
2.85,0.12,0.15,67.64,0.39,9.26,1.12,1.49,0.7,1.89,609.68
8.6,0.17,0.28,61.4,1.79,12.89,4.96,1.84,3.73,1.77,432.31
5.31,0.15,0.13,57.74,0.96,11.81,0.21,0.32,0.82,2.5,1146.54
9.02,0.07,0.38,59.5,0.91,13.29,0.31,1,1.58,1.52,1000
4.96,0.1,0.1,63.02,1,14.02,0.91,0.82,0.84,1.82,1206.12
2.57,0.05,0.08,57.59,0.28,8.88,2.52,2.84,0.81,2.11,913.11
4.47,0.09,0.06,67.52,0.63,13.89,2.99,2.92,1.53,1.09,836.13
6.45,0.13,0.13,60.88,0.81,16.24,1.64,1.41,1.44,2.61,419.52
3.83,0.01,0.03,75.69,0.76,12.35,0.06,0.01,0.15,0.18,1179.72
5.39,0.08,0.26,57.7,0.63,10.93,2.76,1.86,2.11,2.73,463.53
3.57,0.02,0.04,73.96,0.66,11.09,0.61,0.16,0.55,0.52,418.41
5.77,0.02,0.06,62.61,1.18,16.2,0.1,0.12,0.35,1.28,1320.64
3.76,0.03,0.1,67.61,0.97,12.26,0.25,0.23,0.34,0.86,1218.98
